Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-01-02,77916.609375,78112.37975031407,76546.2167478015,76546.2167478015,17142847
2024-01-03,75371.6015625,77133.53510551948,75371.6015625,76839.87951501623,21753644
2024-01-04,74980.0546875,75665.25100970952,74490.62874306462,74490.62874306462,15324439
2024-01-05,74980.0546875,75469.48063193538,74784.28430972584,75077.93987638707,11304316
2024-01-08,74882.171875,75861.02379493463,74784.28668300653,75371.59783496732,11088724
2024-01-09,73120.234375,76056.78997238955,72728.69362868139,75763.1344126506,26019249
2024-01-10,72043.5,73609.66304347826,71651.95923913043,73413.89266304347,20259529
2024-01-11,71651.9609375,72043.50170765027,71162.53497481217,71358.3053598873,57691266
2024-01-12,71554.0625,72532.91424418605,71260.40697674418,71456.17732558139,13038939
2024-01-15,72337.15625,72435.04144113667,71651.9599120433,71651.9599120433,2957915
2024-01-16,71064.6484375,72141.38553503787,70966.76324681473,71945.61515366736,14760415
2024-01-17,69498.484375,71749.84372799295,69498.484375,71554.07334947183,22683660
2024-01-18,70183.6796875,70477.33525104602,69204.82780901325,70085.79449965133,17853397
2024-01-19,73120.234375,73120.234375,71456.18620314592,71945.61213604418,23363427
2024-01-22,73511.7734375,74392.74009653795,73413.88825316245,74294.8549122004,19673375
2024-01-23,73609.6640625,74196.97521193484,72728.69733834775,74099.09002036238,14786224
2024-01-24,72435.0390625,73609.66131756757,71945.61312288852,73609.66131756757,12860661
2024-01-25,72532.921875,73218.1181680162,72141.38113613361,72630.80705971661,11737747
2024-01-26,71847.7265625,72924.46360907698,71749.84137644754,72141.38212065735,11160062
2024-01-29,72826.5703125,73609.65171370968,71945.60373613912,72239.25926159274,13976521
2024-01-30,72728.6875,73707.53928331089,72141.37643001345,73413.88374831763,12244418
2024-01-31,71162.53125,72435.0386863824,70966.76087517194,71847.72756189821,15703560
2024-02-01,72043.5,72630.81114130435,71358.30366847826,71456.18885869565,19881033
2024-02-02,73609.6640625,73609.6640625,72141.3861889129,72435.04176363032,14955881
2024-02-05,72728.6875,73218.11339165545,71945.60607335127,72630.8023216689,19026021
2024-02-06,72826.5703125,73120.22583795364,71749.8333858367,72728.68513734879,14559254
2024-02-07,73413.890625,73903.3165625,72728.6943125,73022.349875,16566445
